devId,semaId,thrd,name
0600001,6014001,250,交流输入XX电压过高告警
0600001,6015001,160,交流输入XX电压过低告警
0600001,6016001,88,交流输入XX停电告警
0600001,6017001,88,交流输入XX缺相告警
1830001,18101001,3,环境温度
1830001,18004001,33,温度
0600001,6008001,40,直流输出电压过低告警
1600001,16001001,300,交流输入停电告警
1600001,16003001,250,交流电压过低告警
