addr,ch,name, devId,semaId
1,101,机房环境温度,1800001,18101001
1,102,机房环境湿度,1800001,18102001
1,103,变送器1,0700001,07106001
1,104,变送器2,0700001,07107001
1,105,,,
1,106,,,
1,107,,,
1,108,,,
1,001,烟雾告警,1800001,18002001
1,002,水浸告警,1800001,18001001
1,003,红外告警,1800001,18003001
1,004,,,
