Type,Command(消息头),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,60530000,,,,,13,,
,,,15103001,设备时间,,12,,
,60420000,,,,,13,,
,,,15102001,回风温度,,4,10,
Ctrl,6045C0041000,,,,,,,
,,,15201001,远程开机,,2,,
,6045C0041F00,,,,,,,
,,,15202001,远程关机,,2,,
