Type,Command(功能码+起始地址+读取个数),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,030000000C,,,,,3,,
,,,18101001,机房环境温度,,2,10,
,,,18102001,机房环境湿度,,2,10,
,,,18103001,变送器1,,2,100,
,,,18104001,变送器2,,2,100,
,,,18105001,变送器3,,2,100,
,,,18106001,变送器4,,2,100,
,,,,备用1,,2,,
,,,,备用2,,2,,
,,,18002001,烟雾告警,,2,,
,,,18001001,水浸告警,,2,,
,,,18003001,红外告警,,2,,
,,,18004001,test1,,2,,
,,,,门磁,,,,
,,,,室外机防盗,,,,
Ctrl,601000001,,,,,,,
,,,l01,远程开灯,,2,,
,601000000,,,,,,,
,,,l02,远程关灯,,2,,
