Type,Command(CID1-INFO),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,804A0000,,,,,13,,
,,,17001001,非法进入告警,,2,,
,,,17002001,长时间门开告警,,2,,
,,,17003001,设备故障告警,,,,
,,,17005001,门磁开关状态,,2,,
,,,17006001,门锁开关状态,,2,,
,,,17101001,门磁开关状态,,,,
,,,17102001,门锁开关状态,,,,
,,,17103001,设备系统时间,,14,,
Ctrl,8049C004,,,,,,,
,,F1ED,17201001,远程开门,,2,,
